"Time","value"
2026-01-15 16:08:07,-0.904
2026-01-15 16:08:07,-0.869
2026-01-15 16:08:07,-0.869
2026-01-15 16:08:07,-0.834
2026-01-15 16:08:07,-0.922
2026-01-15 16:08:07,-0.922
2026-01-15 16:08:07,-0.904
2026-01-15 16:08:07,-0.834
2026-01-15 16:08:07,-0.834
2026-01-15 16:08:07,-0.799
2026-01-15 16:08:07,-0.834
2026-01-15 16:08:07,-0.869
2026-01-15 16:08:07,-0.799
2026-01-15 16:08:07,-0.869
2026-01-15 16:08:07,-0.887
2026-01-15 16:08:07,-0.834
2026-01-15 16:08:07,-0.852
2026-01-15 16:08:07,-0.852
2026-01-15 16:08:07,-0.869
2026-01-15 16:08:07,-0.887
2026-01-15 16:08:07,-0.887
2026-01-15 16:08:07,-0.852
2026-01-15 16:08:07,-0.869
2026-01-15 16:08:07,-0.799
2026-01-15 16:08:07,-0.817
2026-01-15 16:08:07,-0.852
2026-01-15 16:08:07,-0.869
2026-01-15 16:08:07,-0.834
2026-01-15 16:08:07,-0.852
2026-01-15 16:08:07,-0.887
2026-01-15 16:08:07,-0.869
2026-01-15 16:08:07,-0.834
2026-01-15 16:08:07,-0.834
2026-01-15 16:08:07,-0.852
2026-01-15 16:08:07,-0.904
2026-01-15 16:08:08,-0.922
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.834
2026-01-15 16:08:08,-0.922
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.834
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.922
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.904
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.834
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.904
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.834
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.939
2026-01-15 16:08:08,-0.922
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.904
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.922
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.939
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.834
2026-01-15 16:08:08,-0.834
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.939
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.922
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.904
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.904
2026-01-15 16:08:08,-0.957
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.834
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.922
2026-01-15 16:08:08,-0.904
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.817
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.887
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.869
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.852
2026-01-15 16:08:08,-0.834
